ds,yhat,yhat_lower,yhat_upper
2025-07-06,23.000016,23.000016,23.000016
2025-07-13,52.00003095700399,52.00003095700399,52.00003095700399
2025-07-20,81.000045914008,81.00004549652857,81.00004630874089
2025-07-27,110.00006087101201,110.00005953005461,110.00006210006292
2025-08-03,139.000075828016,139.00007313027072,139.0000782518931
2025-08-10,168.00009078502,168.0000865802302,168.0000948238776
2025-08-17,197.000105742024,197.00009989903026,197.00011111830108
2025-08-24,226.000120699028,226.00011279329172,226.00012771164455
2025-08-31,255.00013565603197,255.00012559790972,255.00014429719664
2025-09-07,284.00015061303594,284.00013876869116,284.00016151428343
2025-09-14,313.00016557004,313.0001513446773,313.000179096007
2025-09-21,342.000180527044,342.0001637994239,342.0001962357874
2025-09-28,371.000195484048,371.0001756814875,371.0002144888887
2025-10-05,400.00021044105193,400.0001877419673,400.00023181676664
